Class,OPDClass,MatchElement,Pattern
VAI_V,vai,lemma,"^.*[^aiou][aiou]$"
VAI_VV,vai,lemma,"^.*(aa|ii|oo|e)$"
VAI_am,vai2,lemma,"^.*am$"
VAI_m,vai,lemma,"^.*[^a]m$"
VAI_n,vai,lemma,"^.*n$"
VAI_rcp,vai,lemma,"^.*idi$"
VAI_rfx,vai,lemma,"^.*idizo$"
VAIO,vai+o,lemma,"^.*$"
VII_VV,vii,lemma,"^.*(aa|ii|oo|e)$"
VII_V,vii,lemma,"^.*[^iou][iou]$"
VII_d,vii,lemma,"^.*d$"
VII_n,vii,lemma,"^.*n$"
VTA_C,vta,lemma,"^.*[bcdfghjklmptz']$"
VTA_C,vta,lemma,"^.*[^bcdfghjklmnpstzwa']w$"
VTA_Cw,vta,stem,"^.*[bcdfghjklmnpstwz']w$"
VTA_aw,vta,lemma,"^.*aw$"
VTA_n,vta,stem,"^.*n$"
VTA_s,vta,stem,"^.*s$"
VTI_am,vti1,lemma,"^.*am$"
VTI_i,vti3,stem,"^.*i$"
VTI_oo,vti2,lemma,"^.*oon$"
VTI_aa,vti4,lemma,"^.*aan$"
