Paradigm,Class,Lemma,Stem,Form1Surface,Form1Split,Form1Source
ADVConj,ADVConj,dash,dash,dash,<<dash>>,OPD
ADVDisc,ADVDisc,aapidek,aapidek,aapidek,<<aapidek>>,OPD
ADVDub,ADVDub,dibi,dibi,dibi,<<dibi>>,OPD
ADVGram,ADVGram,giishpin,giishpin,giishpin,<<giishpin>>,OPD
ADVInter,ADVInter,aandi,aandi,aandi,<<aandi>>,OPD
ADVLoc,ADVLoc,aasamadaaki,aasamadaaki,aasamadaaki,<<aasamadaaki>>,OPD
ADVMan,ADVMan,bakaan,bakaan,bakaan,<<bakaan>>,OPD
ADVNeg,ADVNeg,gaawiin,gaawiin,gaawiin,<<gaawiin>>,OPD
ADVPred,ADVPred,ambegish,ambegish,ambegish,<<ambegish>>,OPD
ADVQnt,ADVQnt,anooj,anooj,anooj,<<anooj>>,OPD
ADVTmp,ADVTmp,apane,apane,apane,<<apane>>,OPD
AVDDeg,AVDDeg,enigok,enigok,enigok,<<enigok>>,OPD
